collection_year,collection_label,survey,table_name,table_title,release,url
2014,201415,Academic Libraries,DRVAL2014,Frequently used/derived variables Academic library indicators: Fiscal year 2014,Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/DRVAL2014.zip
2015,201516,Institutional Characteristics,HD2015,Directory information,Provisional/final (institutions will not  be allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/HD2015.zip
2015,201516,Institutional Characteristics,FLAGS2015,Response status for all survey components,Final,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2015.zip
2015,201516,Institutional Characteristics,IC2015,"Educational offerings, organization, admissions, services and athletic associations",Final,https://nces.ed.gov/ipeds/datacenter/data/IC2015.zip
2015,201516,Institutional Characteristics,IC2015_AY,Student charges for academic year programs,Provisional/final (institutions will not  be allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/IC2015_AY.zip
2015,201516,Institutional Characteristics,IC2015_PY,Student charges by program (vocational programs),Provisional/final (institutions will not  be allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/IC2015_PY.zip
2015,201516,Institutional Characteristics,DRVIC2015,Frequently used derived variables (IC): Total cost of attendance,Provisional (institutions will not  be allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/DRVIC2015.zip
2015,201516,Institutional Characteristics,IC2015MISSION,Mission statement,Provisional,https://nces.ed.gov/ipeds/datacenter/data/IC2015MISSION.zip
2015,201516,Institutional Characteristics,CUSTOMCGIDS2015,Custom comparison groups,Provisional/final (institutions will not  be allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/CUSTOMCGIDS2015.zip
2015,201516,Admissions,ADM2015,"Admission considerations, applicants, admissions, and test scores",Final,https://nces.ed.gov/ipeds/datacenter/data/ADM2015.zip
2015,201516,Admissions,DRVADM2015,Frequently used derived variables for admissions. Selectivity and admissions yield,Final,https://nces.ed.gov/ipeds/datacenter/data/DRVADM2015.zip
2015,201516,12-month Enrollment,EFFY2015,12-month unduplicated headcount: 2014-15,Final,https://nces.ed.gov/ipeds/datacenter/data/EFFY2015.zip
2015,201516,12-month Enrollment,EFIA2015,12-month instructional activity: 2014-15,Final,https://nces.ed.gov/ipeds/datacenter/data/EFIA2015.zip
2015,201516,12-month Enrollment,DRVEF122015,"Frequently used dervied variables (E12): 12-month enrollment, 2014-15",Final,https://nces.ed.gov/ipeds/datacenter/data/DRVEF122015.zip
2015,201516,Fall Enrollment,EF2015,"Gender, attendance status, and level of student: Fall 2015",Final,https://nces.ed.gov/ipeds/datacenter/data/EF2015.zip
2015,201516,Fall Enrollment,EF2015A,"Race/ethnicity, gender, attendance status, and level of student: Fall 2015",Final,https://nces.ed.gov/ipeds/datacenter/data/EF2015A.zip
2015,201516,Fall Enrollment,EF2015B,"Age category, gender, attendance status, and level of student: Fall 2015 (optional)",Final,https://nces.ed.gov/ipeds/datacenter/data/EF2015B.zip
2015,201516,Fall Enrollment,EF2015C,Residence and migration of first-time freshman: Fall 2015,Final,https://nces.ed.gov/ipeds/datacenter/data/EF2015C.zip
2015,201516,Fall Enrollment,EF2015D,"Total entering class, retention rates, and student-to-faculty ratio: Fall 2015",Final,https://nces.ed.gov/ipeds/datacenter/data/EF2015D.zip
2015,201516,Fall Enrollment,EF2015A_DIST,Distance education status and level of student: Fall 2015,Final,https://nces.ed.gov/ipeds/datacenter/data/EF2015A_DIST.zip
2015,201516,Fall Enrollment,DRVEF2015,Frequently used derived variables (EF): Fall enrollment 2015,Final,https://nces.ed.gov/ipeds/datacenter/data/DRVEF2015.zip
2015,201516,Completions,C2015_A,"Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender:July 1, 2014 to June 30, 2015",Final,https://nces.ed.gov/ipeds/datacenter/data/C2015_A.zip
2015,201516,Completions,C2015_B,"Number of students receiving awards/degrees, by race/ethnicity and gender: July 1, 2014 to June 30, 2015",Final,https://nces.ed.gov/ipeds/datacenter/data/C2015_B.zip
